编号,葡萄酒英文名,葡萄酒中文名,官方网站,类型(Red Wine红葡萄酒/White Wine白葡萄酒/Rose Wine粉红葡萄酒/Sparking Wine起泡酒/Port Wine波特酒/Sherry Wine雪利酒/Fortified Wine加强酒/Sweet Wine甜酒/Others其它),产区（France/Bordeaux/Haut-Médoc/Margaux）,产区（法国/波尔多/上梅多克/玛歌）,酒庄英文名,酒庄中文名,年份,适饮年份（2001-2002）,酒精度,葡萄品种／含量,容量,评分
401,Château Grand-Puy-Ducasse,杜卡斯酒庄/都卡斯,http://www.cagrandscrus.com/,红葡萄酒,France/Bordeaux/Haut-Médoc/Pauillac,法国/波尔多/上梅多克/波亚克,Château Grand-Puy-Ducasse,杜卡斯酒庄/都卡斯,2009,,,,750,
402,Château Lynch-Bages,林卓贝斯酒庄/靓茨伯/琳芝芭戈,www.lynchbages.com/,红葡萄酒,France/Bordeaux/Haut-Médoc/Pauillac,法国/波尔多/上梅多克/波亚克,Château Lynch-Bages,林卓贝斯酒庄/靓茨伯/琳芝芭戈,2010,,,"Cabernet Sauvignon/79%
Merlot/18%
Cabernet Franc/2%
Petit Verdot/1%",750,
403,Château Lynch-Bages,林卓贝斯酒庄/靓茨伯/琳芝芭戈,www.lynchbages.com/,红葡萄酒,France/Bordeaux/Haut-Médoc/Pauillac,法国/波尔多/上梅多克/波亚克,Château Lynch-Bages,林卓贝斯酒庄/靓茨伯/琳芝芭戈,2009,,,,750,
404,Château Lynch-Moussas,林奇慕萨酒庄/浪琴慕沙/靓茨摩/靓茨摩斯,www.lynch-moussas.com/,红葡萄酒,France/Bordeaux/Haut-Médoc/Pauillac,法国/波尔多/上梅多克/波亚克,Château Lynch-Moussas,林奇慕萨酒庄/浪琴慕沙/靓茨摩/靓茨摩斯,2010,,,"Cabernet Sauvignon/76%
Merlot/24%",750,
405,Château Lynch-Moussas,林奇慕萨酒庄/浪琴慕沙/靓茨摩/靓茨摩斯,www.lynch-moussas.com/,红葡萄酒,France/Bordeaux/Haut-Médoc/Pauillac,法国/波尔多/上梅多克/波亚克,Château Lynch-Moussas,林奇慕萨酒庄/浪琴慕沙/靓茨摩/靓茨摩斯,2009,,,,750,
406,Château d'Armailhac,阿尔梅雅堡酒庄/达玛雅克/单公仔/达马邑,www.bpdr.com/,红葡萄酒,France/Bordeaux/Haut-Médoc/Pauillac,法国/波尔多/上梅多克/波亚克,Château d'Armailhac,阿尔梅雅堡酒庄/达玛雅克/单公仔/达马邑,2010,,,"Cabernet Sauvignon/60%
Merlot/23%
Cabernet Franc/15%
Petit Verdot/2%",750,
407,Château d'Armailhac,阿尔梅雅堡酒庄/达玛雅克/单公仔/达马邑,www.bpdr.com/,红葡萄酒,France/Bordeaux/Haut-Médoc/Pauillac,法国/波尔多/上梅多克/波亚克,Château d'Armailhac,阿尔梅雅堡酒庄/达玛雅克/单公仔/达马邑,2009,,,"Cabernet Sauvignon/60%
Merlot/24%
Cabernet Franc/14%
Petit Verdot/2%",750,
408,Château Haut-Bages-Libéral,自由欧堡/奥巴里奇,www.hautbagesliberal.com/,红葡萄酒,France/Bordeaux/Haut-Médoc/Pauillac,法国/波尔多/上梅多克/波亚克,Château Haut-Bages-Libéral,自由欧堡/奥巴里奇,2010,,,"Cabernet Sauvignon/72%
Merlot/28%",750,
409,Château Haut-Bages-Libéral,自由欧堡/奥巴里奇,www.hautbagesliberal.com/,红葡萄酒,France/Bordeaux/Haut-Médoc/Pauillac,法国/波尔多/上梅多克/波亚克,Château Haut-Bages-Libéral,自由欧堡/奥巴里奇,2009,,,,750,
410,Château Haut-Bages-Libéral,自由欧堡/奥巴里奇,www.hautbagesliberal.com/,红葡萄酒,France/Bordeaux/Haut-Médoc/Pauillac,法国/波尔多/上梅多克/波亚克,Château Haut-Bages-Libéral,自由欧堡/奥巴里奇,2005,,,"Cabernet Sauvignon/72%
Merlot/28%",750,
411,Château Pédesclaux,百德诗歌酒庄,www.chateau-pedesclaux.com/,红葡萄酒,France/Bordeaux/Haut-Médoc/Pauillac,法国/波尔多/上梅多克/波亚克,Château Pédesclaux,百德诗歌酒庄,2009,,,,750,
412,Château Clerc-Milon,克拉米兰堡/克拉米伦/贾勒米隆/孖公仔/米隆修士堡,www.bpdr.com/,红葡萄酒,France/Bordeaux/Haut-Médoc/Pauillac,法国/波尔多/上梅多克/波亚克,Château Clerc-Milon,克拉米兰堡/克拉米伦/贾勒米隆/孖公仔/米隆修士堡,2009,,,"Cabernet Sauvignon/50%
Merlot/44%
Cabernet Franc/4%
Petit Verdot/1%
Carmenère/1%",750,
413,Château Croizet Bages,歌碧酒庄/,http://www.domaines-quie.com/,红葡萄酒,France/Bordeaux/Haut-Médoc/Pauillac,法国/波尔多/上梅多克/波亚克,Château Croizet Bages,歌碧酒庄,2009,,,,750,
414,Château Lafite Rothschild,拉菲古堡,www.lafite.com/,红葡萄酒,France/Bordeaux/Haut-Médoc/Pauillac,法国/波尔多/上梅多克/波亚克,Château Lafite Rothschild,拉菲古堡,2010,,,"Cabernet Sauvignon/87.2%
Merlot/12.8%",750,
415,Château Lafite Rothschild,拉菲古堡,www.lafite.com/,红葡萄酒,France/Bordeaux/Haut-Médoc/Pauillac,法国/波尔多/上梅多克/波亚克,Château Lafite Rothschild,拉菲古堡,2009,,,"Cabernet Sauvignon/82.5%
Merlot/17%
Petit Verdot/0.5%",750,
416,Château Lafite Rothschild,拉菲古堡,www.lafite.com/,红葡萄酒,France/Bordeaux/Haut-Médoc/Pauillac,法国/波尔多/上梅多克/波亚克,Château Lafite Rothschild,拉菲古堡,2008,,,"Cabernet Sauvignon/83%
Merlot/13%
Cabernet Franc/4%",750,
417,Château Lafite Rothschild,拉菲古堡,www.lafite.com/,红葡萄酒,France/Bordeaux/Haut-Médoc/Pauillac,法国/波尔多/上梅多克/波亚克,Château Lafite Rothschild,拉菲古堡,2007,,,"Cabernet Sauvignon/84%
Merlot/15%
Petit Verdot/1%",750,
418,Château Latour,拉图酒庄,www.chateau-latour.com/,红葡萄酒,France/Bordeaux/Haut-Médoc/Pauillac,法国/波尔多/上梅多克/波亚克,Château Latour,拉图酒庄,2010,,,"Cabernet Sauvignon/90.5%
Merlot/8.5%
Petit Verdot/0.5
Cabernet Franc/0.5%",750,
419,Château Latour,拉图酒庄,www.chateau-latour.com/,红葡萄酒,France/Bordeaux/Haut-Médoc/Pauillac,法国/波尔多/上梅多克/波亚克,Château Latour,拉图酒庄,2009,,,"Cabernet Sauvignon/91.3%
Merlot/8.7%",750,
420,Château Latour,拉图酒庄,www.chateau-latour.com/,红葡萄酒,France/Bordeaux/Haut-Médoc/Pauillac,法国/波尔多/上梅多克/波亚克,Château Latour,拉图酒庄,2008,,,"Cabernet Sauvignon/95%
Merlot/4%
Petit Verdot/0.25
Cabernet Franc/0.75%",750,
421,Château Latour,拉图酒庄,www.chateau-latour.com/,红葡萄酒,France/Bordeaux/Haut-Médoc/Pauillac,法国/波尔多/上梅多克/波亚克,Château Latour,拉图酒庄,2007,,,"Cabernet Sauvignon/91%
Merlot/9%",750,
422,Château Mouton Rothschild,罗基德木桐酒庄/ 木桐/武当王,www.bpdr.com/,红葡萄酒,France/Bordeaux/Haut-Médoc/Pauillac,法国/波尔多/上梅多克/波亚克,Château Mouton Rothschild,罗基德木桐酒庄/ 木桐/武当王,2010,,,"Cabernet Sauvignon/94%
Merlot/6%",750,
423,Château Mouton Rothschild,罗基德木桐酒庄/ 木桐/武当王,www.bpdr.com/,红葡萄酒,France/Bordeaux/Haut-Médoc/Pauillac,法国/波尔多/上梅多克/波亚克,Château Mouton Rothschild,罗基德木桐酒庄/ 木桐/武当王,2009,,,"Cabernet Sauvignon/88%
Merlot/12%",750,
424,Château Mouton Rothschild,罗基德木桐酒庄/ 木桐/武当王,www.bpdr.com/,红葡萄酒,France/Bordeaux/Haut-Médoc/Pauillac,法国/波尔多/上梅多克/波亚克,Château Mouton Rothschild,罗基德木桐酒庄/ 木桐/武当王,2005,,,"Cabernet Sauvignon/85%
Merlot/14%
Cabernet Franc/1%",750,
425,Château Mouton Rothschild,罗基德木桐酒庄/ 木桐/武当王,www.bpdr.com/,红葡萄酒,France/Bordeaux/Haut-Médoc/Pauillac,法国/波尔多/上梅多克/波亚克,Château Mouton Rothschild,罗基德木桐酒庄/ 木桐/武当王,2003,,,"Cabernet Sauvignon/76%
Merlot/14%
Cabernet Franc/8%
Petit Verdot/2%",750,
426,Château Mouton Rothschild,罗基德木桐酒庄/ 木桐/武当王,www.bpdr.com/,红葡萄酒,France/Bordeaux/Haut-Médoc/Pauillac,法国/波尔多/上梅多克/波亚克,Château Mouton Rothschild,罗基德木桐酒庄/ 木桐/武当王,2000,,,"Cabernet Sauvignon/86%
Merlot/14%",750,
427,Château Mouton Rothschild,罗基德木桐酒庄/ 木桐/武当王,www.bpdr.com/,红葡萄酒,France/Bordeaux/Haut-Médoc/Pauillac,法国/波尔多/上梅多克/波亚克,Château Mouton Rothschild,罗基德木桐酒庄/ 木桐/武当王,1998,,,"Cabernet Sauvignon/86%
Merlot/12%
Cabernet Franc/2%",750,
428,Château Mouton Rothschild,罗基德木桐酒庄/ 木桐/武当王,www.bpdr.com/,红葡萄酒,France/Bordeaux/Haut-Médoc/Pauillac,法国/波尔多/上梅多克/波亚克,Château Mouton Rothschild,罗基德木桐酒庄/ 木桐/武当王,1996,,,"Cabernet Sauvignon/77%
Merlot/10%
Cabernet Franc/13%",750,
429,Château Mouton Rothschild,罗基德木桐酒庄/ 木桐/武当王,www.bpdr.com/,红葡萄酒,France/Bordeaux/Haut-Médoc/Pauillac,法国/波尔多/上梅多克/波亚克,Château Mouton Rothschild,罗基德木桐酒庄/ 木桐/武当王,1989,,,"Cabernet Sauvignon/78%
Merlot/8%
Cabernet Franc/14%",750,
430,Château Mouton Rothschild,罗基德木桐酒庄/ 木桐/武当王,www.bpdr.com/,红葡萄酒,France/Bordeaux/Haut-Médoc/Pauillac,法国/波尔多/上梅多克/波亚克,Château Mouton Rothschild,罗基德木桐酒庄/ 木桐/武当王,1986,,,"Cabernet Sauvignon/80%
Merlot/10%
Cabernet Franc/8%
Petit Verdot/2%",750,
431,Château Duhart-Milon,多哈米隆古堡/都夏美隆/杜哈特-米伦,www.lafite.com/,红葡萄酒,France/Bordeaux/Haut-Médoc/Pauillac,法国/波尔多/上梅多克/波亚克,Château Duhart-Milon,多哈米隆古堡/都夏美隆/杜哈特-米伦,2010,,,"Cabernet Sauvignon/73%
Merlot/27%",750,
432,Château Duhart-Milon,多哈米隆古堡/都夏美隆/杜哈特-米伦,www.lafite.com/,红葡萄酒,France/Bordeaux/Haut-Médoc/Pauillac,法国/波尔多/上梅多克/波亚克,Château Duhart-Milon,多哈米隆古堡/都夏美隆/杜哈特-米伦,2009,,,"Cabernet Sauvignon/63%
Merlot/37%",750,
433,Château Duhart-Milon,多哈米隆古堡/都夏美隆/杜哈特-米伦,www.lafite.com/,红葡萄酒,France/Bordeaux/Haut-Médoc/Pauillac,法国/波尔多/上梅多克/波亚克,Château Duhart-Milon,多哈米隆古堡/都夏美隆/杜哈特-米伦,2008,,,"Cabernet Sauvignon/73%
Merlot/27%",750,
